ID	title	region	release_name	copyright	domestic_title	overseas_title	product_id	region_codes	rom_size
0e320ae8	240p Test Suite	NTSC-U	240p Test Suite (World) (Program) (Aftermarket) (Unl).32x		32X 240p Test Suite	32X 240p Test Suite	20220208		808596016
542ad12e	32X Sample Program - PWM Sound Demo (Unknown) (SDK Build)	NTSC-U	32X Sample Program - PWM Sound Demo (Unknown) (SDK Build).32x						
029106f5	After Burner Complete	PAL	After Burner Complete (Europe).32x	(C)SEGA 1994.NOV	AFTER BURNER    COMPLETE	AFTER BURNER    COMPLETE	MK-84507		1261254708
204044c4	After Burner Complete (Japan, USA)	NTSC-U	After Burner Complete (Japan, USA) (En).32x	(C)SEGA 1994.OCT	AFTER BURNER    COMPLETE	AFTER BURNER    COMPLETE	MK-84507		1261254708
29dce257	Amazing Spider-Man, The - Web of Fire	NTSC-U	Amazing Spider-Man, The - Web of Fire (USA).32x	(C)SEGA 1995.DEC	SPIDER-MAN	SPIDER-MAN	MK-84517		1261254708
936c3d27	BC Racers	NTSC-U	BC Racers (USA).32x	(C)T-1151995.APR	BC RACERS X	BC RACERS X	T-11505B		758198581
d1a60a47	Blackthorne	NTSC-U	Blackthorne (USA).32x	(C)SEGA 1995.SEP	BLACKTHORNE 32X		MK-84519		1261254708
7a72c939	Brutal - Above the Claw	NTSC-U	Brutal - Above the Claw (USA).32x	(C)T-83 1995.APR	BRUTAL UNLEASHED - ABOVE THE CLAW	BRUTAL UNLEASHED - ABOVE THE CLAW	T-8301B		758657840
59701755	ClayFighter 2 (1995-04-28)	NTSC-U	ClayFighter 2 (USA) (Proto) (1995-04-28).32x						
9f3fdbc2	Cosmic Carnage	PAL	Cosmic Carnage (Europe).32x	(C)SEGA 1994.OCT	Cyber Brawl	Cosmic Carnage	MK-84700		1261254708
d4166241	Cosmic Carnage (Japan, USA) (1994-09-06)	NTSC-U	Cosmic Carnage (Japan, USA) (En) (Beta) (1994-09-06).32x						
7b58141c	Cosmic Carnage (Japan, USA) (1994-09-21)	NTSC-U	Cosmic Carnage (Japan, USA) (En) (Beta) (1994-09-21).32x						
f04f4366	Cosmic Carnage (Japan, USA) (1994-09-26)	NTSC-U	Cosmic Carnage (Japan, USA) (En) (Beta) (1994-09-26).32x	(C)SEGA 1994.???	Virtual Fight	Virtual Fight	G-xxxx		762869880
cf89175f	Cosmic Carnage (Japan, USA) (1994-09-28)	NTSC-U	Cosmic Carnage (Japan, USA) (En) (Beta) (1994-09-28).32x	(C)SEGA 1994.???	Cyber Brawl	Cosmic Carnage	G-xxxx		762869880
c6867772	Cosmic Carnage (Japan, USA) (1994-10-04)	NTSC-U	Cosmic Carnage (Japan, USA) (En) (Beta) (1994-10-04).32x	(C)SEGA 1994.OCT	Cyber Brawl	Cosmic Carnage	MK-84700		1261254708
bfe27f56	Cosmic Carnage (Japan, USA) (1994-10-05)	NTSC-U	Cosmic Carnage (Japan, USA) (En) (Beta) (1994-10-05).32x	(C)SEGA 1994.OCT	Cyber Brawl	Cosmic Carnage	MK-84700		1261254708
d8b04c24	Cosmic Carnage (Japan, USA) (1994-10-07)	NTSC-U	Cosmic Carnage (Japan, USA) (En) (Beta) (1994-10-07).32x	(C)SEGA 1994.OCT	Cyber Brawl	Cosmic Carnage	MK-84700		1261254708
e483498b	Cosmic Carnage (Japan, USA) (1994-10-11)	NTSC-U	Cosmic Carnage (Japan, USA) (En) (Beta) (1994-10-11).32x	(C)SEGA 1994.OCT	Cyber Brawl	Cosmic Carnage	MK-84700		1261254708
7c7be6a2	Cosmic Carnage (Japan, USA)	NTSC-U	Cosmic Carnage (Japan, USA) (En).32x	(C)SEGA 1994.OCT	Cyber Brawl	Cosmic Carnage	MK-84700		1261254708
22d7c906	Darxide (En,Fr,De,Es)	PAL	Darxide (Europe) (En,Fr,De,Es).32x	(C)SEGA 1995.NOV	DARXIDE	DARXIDE	MK-84580		1261254708
6182e821	Doom (1994-10-02)	PAL	Doom (Europe) (Beta) (1994-10-02).32x	(C)SEGA 1994.OCT	DOOM	DOOM	MK-84506		1261254708
53734e3a	Doom	PAL	Doom (Europe).32x	(C)SEGA 1994.OCT	DOOM	DOOM	MK-84506		1261254708
646d5c47	Doom (Japan, USA) (1994-09-06)	NTSC-U	Doom (Japan, USA) (En) (Beta) (1994-09-06).32x						
8d757b51	Doom (Japan, USA) (1994-09-09)	NTSC-U	Doom (Japan, USA) (En) (Beta) (1994-09-09).32x						
102678b3	Doom (Japan, USA) (1994-09-14)	NTSC-U	Doom (Japan, USA) (En) (Beta) (1994-09-14).32x						
b554596f	Doom (Japan, USA) (1994-09-16)	NTSC-U	Doom (Japan, USA) (En) (Beta) (1994-09-16).32x						
2d09b919	Doom (Japan, USA) (1994-09-21)	NTSC-U	Doom (Japan, USA) (En) (Beta) (1994-09-21).32x	(C)SEGA 1994.SEP	DOOM	DOOM	MK-84506		1261254708
abc3eb89	Doom (Japan, USA) (1994-09-23)	NTSC-U	Doom (Japan, USA) (En) (Beta) (1994-09-23).32x	(C)SEGA 1994.SEP	DOOM	DOOM	MK-84506		1261254708
b9ae1316	Doom (Japan, USA) (1994-09-25)	NTSC-U	Doom (Japan, USA) (En) (Beta) (1994-09-25).32x	(C)SEGA 1994.SEP	DOOM	DOOM	MK-84506		1261254708
12991053	Doom (Japan, USA) (1994-09-27)	NTSC-U	Doom (Japan, USA) (En) (Beta) (1994-09-27).32x	(C)SEGA 1994.SEP	DOOM	DOOM	MK-84506		1261254708
